# fiducial Q-values for DESI BAO inputs
# fid_hrd = 101.5400000000
# fid_Om = 0.2975000000
# [z] [Q_fid] [quantity]
0.29500000 8.111521032803 DM_over_rs
0.29500000 25.423936572148 DH_over_rs
0.29500000 7.902353801614 DV_over_rs
0.51000000 13.256517461516 DM_over_rs
0.51000000 22.468045782676 DH_over_rs
0.51000000 12.627909406088 DV_over_rs
0.70600000 17.413953191140 DM_over_rs
0.70600000 19.998174274074 DH_over_rs
0.70600000 16.237902588983 DV_over_rs
0.93400000 21.678499179120 DM_over_rs
0.93400000 17.474839699150 DH_over_rs
0.93400000 19.721479863306 DV_over_rs
1.32100000 27.744255711533 DM_over_rs
1.32100000 14.039850099860 DH_over_rs
1.32100000 24.258865237885 DV_over_rs
1.48400000 29.935467044931 DM_over_rs
1.48400000 12.870561576913 DH_over_rs
1.48400000 25.771191103411 DV_over_rs
2.33000000 38.850795510211 DM_over_rs
2.33000000 8.636017556779 DH_over_rs
2.33000000 31.200131402948 DV_over_rs
